definition_wn,answer_wn,label,predicted_label,predicted_probability,definition,answer,surface,def_num_usable_synsets,ans_num_usable_synsets,distractor_source,cos_w1clue_w1all,cos_w1clue_w1common,cos_w1clue_w1obscure,cos_w1clue_w2all,cos_w1clue_w2common,cos_w1clue_w2obscure,wn_rel_hypernym,wn_rel_hypernym_of_hypernym,wn_rel_hypernym_of_hyponym,wn_rel_hyponym,wn_rel_hyponym_of_hypernym,wn_rel_hyponym_of_hyponym,wn_rel_hyponym_of_part_holonym,wn_rel_hyponym_of_part_meronym,wn_rel_member_meronym,wn_rel_member_meronym_of_member_holonym,wn_rel_part_holonym,wn_rel_part_holonym_of_hypernym,wn_rel_part_holonym_of_hyponym,wn_rel_part_holonym_of_part_meronym,wn_rel_part_meronym,wn_rel_part_meronym_of_hypernym,wn_rel_part_meronym_of_hyponym,wn_rel_substance_meronym,wn_rel_substance_meronym_of_hyponym,wn_rel_synonym,wn_max_path_sim,wn_shared_synset_count,surface_edit_distance,surface_length_ratio,surface_shared_first_letter,surface_char_overlap_ratio
disease,german_measles,1,0,0.305,disease,GERMAN MEASLES,In the wake of micro-organism there’s a nameless horrible disease,1,1,,0.7538846731185913,0.7538846731185913,0.7538846135139465,0.5429096221923828,0.5429096221923828,0.5429096221923828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,10,0.5,0,0.2727272727272727
frightful,fearsome,1,0,0.445,frightful,FEARSOME,Stormy sea – for me – is frightful,3,1,,0.8002167344093323,0.7804403901100159,0.7789554595947266,0.6834012269973755,0.6834012269973755,0.6834014654159546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,8,0.8888888888888888,1,0.15384615384615385
footwear,espadrilles,1,0,0.26,Footwear,ESPADRILLES,Footwear sellers paid to diversify,2,1,,0.8647559881210327,0.8583821058273315,0.8507440090179443,0.6287175416946411,0.6287177801132202,0.6287176012992859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,11,0.7272727272727273,0,0.25
damn,rats,1,0,0.35,Damn,RATS,Damn sunrises!,5,11,,0.7004325985908508,0.3456822633743286,0.5410271286964417,0.5341715812683105,0.3335762023925781,0.425252765417099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,3,1.0,0,0.14285714285714285
time,epoch,1,0,0.5,time,EPOCH,"Caught inside, wish to come back on time",14,3,,0.8477721214294434,0.5645005702972412,0.6556668281555176,0.5522533655166626,0.4953007996082306,0.5403342843055725,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,0.8,0,0.125
writing,inking,1,0,0.36,Writing,INKING,Writing favoured by top man,15,3,,0.8909975290298462,0.8643726110458374,0.712237536907196,0.5727717280387878,0.5858781337738037,0.5083985924720764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,4,0.8571428571428571,0,0.42857142857142855
tissue,achilles_tendon,1,0,0.37,Tissue,ACHILLES TENDON,Tissue for a cold rejected - nose receives care,3,1,,0.8423374891281128,0.7877708077430725,0.7818608283996582,0.6135810613632202,0.6135810017585754,0.6135810613632202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,12,0.4,0,0.3076923076923077
young_girl,damsel,1,0,0.135,Young girl,DAMSEL,Young girl beginning to deliver cooked meals,1,1,,0.8309406638145447,0.8309403657913208,0.8309406638145447,0.7645924091339111,0.7645924091339111,0.7645924091339111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,9,0.6,0,0.07142857142857142
brave,gallant,1,0,0.295,Brave,GALLANT,Brave face social worker put on,6,6,,0.7746149301528931,0.6742455363273621,0.6822620034217834,0.7901638746261597,0.7101387977600098,0.684472918510437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,6,0.7142857142857143,0,0.1111111111111111
severe,drastic,1,0,0.36,Severe,DRASTIC,Severe figure of authority in force getting backing,6,1,,0.7515130639076233,0.6816582679748535,0.6923479437828064,0.6309294700622559,0.6309294700622559,0.6309294700622559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,7,0.8571428571428571,0,0.2222222222222222
