experiment,model,fold,accuracy,f1,precision,recall,roc_auc,best_params
Exp_1A,KNN,0,0.8617682260498517,0.8544087341605647,0.9041410509221668,0.8098622280406459,0.9276465175903015,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}"
Exp_1A,Logistic Regression,0,0.8665660612998907,0.8620433636412547,0.8938900294563956,0.8323878394946284,0.9368530973152477,"{'C': 10.0, 'l1_ratio': 0.5}"
Exp_1A,Random Forest,0,0.8754123952750169,0.8695500561203918,0.9141691870589314,0.8290838060802527,0.9440685966589637,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}"
Exp_1A,KNN,1,0.8645990529218921,0.8579508232519544,0.9036316382621495,0.8166663202311418,0.9278541559506047,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}"
Exp_1A,Logistic Regression,1,0.8694281105271374,0.8652966565741158,0.894889959803682,0.8375979546446611,0.9387748617184146,"{'C': 0.01, 'l1_ratio': 0.0}"
Exp_1A,Random Forest,1,0.8777228495602851,0.8721670347844063,0.915068493150685,0.8331081502421585,0.9458557850502295,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}"
Exp_1A,KNN,2,0.8630261021606095,0.8556860423040231,0.9047861979408218,0.8116406298753979,0.9274394101841542,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}"
Exp_1A,Logistic Regression,2,0.8698846842346281,0.865488896539852,0.8963695928327873,0.8366650718698646,0.9380277963059783,"{'C': 1.0, 'l1_ratio': 0.0}"
Exp_1A,Random Forest,2,0.8765975604679239,0.8707641666757496,0.9146173924989697,0.830923803382356,0.9447534052227244,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}"
Exp_1A,KNN,3,0.8616418966737438,0.8536708860759493,0.9033475435040883,0.8091730484318594,0.9270960221562728,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}"
Exp_1A,Logistic Regression,3,0.869197785271221,0.8643379892489368,0.8953017732954672,0.8354443586586816,0.9375759214467989,"{'C': 0.01, 'l1_ratio': 0.0}"
