experiment,model,fold,accuracy,f1,precision,recall,roc_auc,best_params
Exp_2A,KNN,0,0.72875,0.7152978220939386,0.7709276018099548,0.667156142927068,0.7885317488008832,"{'n_neighbors': 15, 'weights': 'distance'}"
Exp_2A,Logistic Regression,0,0.7075,0.6951537258989057,0.743175487465181,0.6529613313754283,0.7695994973676582,"{'C': 0.1, 'l1_ratio': 1.0}"
Exp_2A,Random Forest,0,0.73925,0.7267487555671994,0.7818489289740699,0.6789035731767009,0.8122369565331575,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': None}"
Exp_2A,KNN,1,0.72725,0.7147712418300654,0.7586015538290788,0.675729115175482,0.790351398972514,"{'n_neighbors': 15, 'weights': 'distance'}"
Exp_2A,Logistic Regression,1,0.72225,0.7078622140415461,0.7561797752808989,0.6653484923381117,0.7769112465123512,"{'C': 0.1, 'l1_ratio': 0.5}"
Exp_2A,Random Forest,1,0.74975,0.7332800426325606,0.7953757225433526,0.680177953534355,0.8201959709171538,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None}"
Exp_2A,KNN,2,0.73225,0.715688877090523,0.7522321428571429,0.6825316455696202,0.7853080793874042,"{'n_neighbors': 15, 'weights': 'distance'}"
Exp_2A,Logistic Regression,2,0.7205,0.7028176501860712,0.7397873531057638,0.669367088607595,0.7816446319737458,"{'C': 0.1, 'l1_ratio': 0.5}"
Exp_2A,Random Forest,2,0.741,0.7196969696969697,0.7728065078442766,0.6734177215189874,0.8072747616815128,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': None}"
Exp_2A,KNN,3,0.72425,0.7107264621033307,0.743688254665203,0.6805625313912607,0.7891684806617334,"{'n_neighbors': 15, 'weights': 'distance'}"
Exp_2A,Logistic Regression,3,0.72875,0.7139467440021091,0.7513873473917869,0.6800602712204922,0.7833468627739711,"{'C': 0.1, 'l1_ratio': 0.5}"
Exp_2A,Random Forest,3,0.7575,0.743114406779661,0.7859943977591036,0.7046710195881467,0.8258689738467204,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': None}"
Exp_2A,KNN,4,0.72325,0.700568028130917,0.7489878542510121,0.6580284552845529,0.7742564596536714,"{'n_neighbors': 15, 'weights': 'distance'}"
Exp_2A,Logistic Regression,4,0.7225,0.7030497592295345,0.7423728813559322,0.6676829268292683,0.7717928289642149,"{'C': 0.1, 'l1_ratio': 1.0}"
Exp_2A,Random Forest,4,0.73575,0.7173040920032094,0.7571993224167137,0.6814024390243902,0.8080741169739454,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': None}"
Exp_2B,KNN,0,0.64125,0.621870882740448,0.6735159817351598,0.5775819872736172,0.6982939113605264,"{'n_neighbors': 15, 'weights': 'uniform'}"
Exp_2B,Logistic Regression,0,0.656,0.5967174677608441,0.743608473338203,0.4982868330885952,0.7055500154946623,"{'C': 0.1, 'l1_ratio': 1.0}"
Exp_2B,Random Forest,0,0.66475,0.5834109972041006,0.798469387755102,0.45961820851688695,0.7311280889591213,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10}"
Exp_2B,KNN,1,0.64525,0.6237072394590294,0.6727688787185355,0.5813148788927336,0.6990088189163017,"{'n_neighbors': 15, 'weights': 'uniform'}"
Exp_2B,Logistic Regression,1,0.6645,0.6130334486735871,0.7356401384083044,0.5254572417202175,0.712953413088881,"{'C': 0.1, 'l1_ratio': 0.0}"
Exp_2B,Random Forest,1,0.675,0.5929868503443957,0.8087105038428694,0.4681166584280771,0.7372269982705212,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 10}"
Exp_2B,KNN,2,0.647,0.6278334211913548,0.6547553600879604,0.6030379746835443,0.6977133927176121,"{'n_neighbors': 15, 'weights': 'uniform'}"
Exp_2B,Logistic Regression,2,0.6675,0.6099706744868035,0.7247386759581882,0.5265822784810127,0.7110362244100641,"{'C': 0.1, 'l1_ratio': 1.0}"
Exp_2B,Random Forest,2,0.666,0.6118535735037769,0.7177914110429447,0.5331645569620254,0.7124211908110643,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None}"
Exp_2B,KNN,3,0.6505,0.6264029930518439,0.6693318103940605,0.5886489201406329,0.7040715074480257,"{'n_neighbors': 15, 'weights': 'uniform'}"
Exp_2B,Logistic Regression,3,0.6655,0.611046511627907,0.7253278122843341,0.5278754394776495,0.7193229412895611,"{'C': 1.0, 'l1_ratio': 0.5}"
Exp_2B,Random Forest,3,0.67375,0.62618160985391,0.7286666666666667,0.5489703666499247,0.7231727692485772,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None}"
Exp_2B,KNN,4,0.64175,0.6148884708411717,0.652595550484883,0.5813008130081301,0.6935615517572498,"{'n_neighbors': 15, 'weights': 'uniform'}"
Exp_2B,Logistic Regression,4,0.67075,0.6109305760709011,0.7297106563161609,0.5254065040650406,0.7060610016164138,"{'C': 1.0, 'l1_ratio': 1.0}"
Exp_2B,Random Forest,4,0.668,0.5740859525336754,0.7782608695652173,0.45477642276422764,0.731972885058575,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 10}"
