clue_id,definition,row
1,Acquisitive,0
2,sagging,1
3,Stripping,2
8,another,3
9,Cited,4
11,A little,5
13,roguishly,6
14,a column,7
18,trouble,8
20,Stuff,9
23,record-holder,10
30,Protective cover,11
33,Vouchsafed,12
35,worrying,13
36,Country,14
37,irresistible,15
42,Sound,16
45,revocation,17
47,Refuse,18
54,Company,19
58,admission,20
59,Record,21
61,representation,22
62,Message,23
63,Think,24
68,Burden,25
72,Maxim,26
75,pen,27
76,Land,28
77,Injurious,29
86,Rev,30
87,Bullet,31
88,Intrepid,32
91,Plant,33
92,Clothing,34
93,without doubt,35
94,Position,36
95,Element,37
96,accident,38
97,Switch,39
100,Argument,40
101,Destroyed,41
102,Roofer,42
103,Amphibian,43
104,Unexpectedly,44
107,Plea,45
108,Storm,46
109,Shrub,47
114,Promotion,48
115,Revolutionary,49
117,me,50
118,carelessly,51
128,Promise,52
129,duty,53
137,Traveller,54
138,Press,55
145,dance,56
146,Seat,57
148,Train,58
149,recess,59
150,Ruined,60
150,a sculpture,61
153,brandy,62
154,Bats,63
157,cardinal,64
158,Painting,65
159,Class,66
160,piece of furniture,67
161,Back,68
162,bag,69
163,Grog,70
167,pipe,71
168,organs,72
169,Quickly,73
170,Bother,74
184,Barrister,75
186,copes,76
187,Proposer,77
190,Pictures,78
191,Appear,79
192,Present,80
194,cheese,81
200,Unfavourable,82
201,food,83
202,Police force,84
204,Match,85
204,the Devil,86
205,layers,87
207,Deck,88
209,a big hand,89
211,Dramatist,90
219,Take away,91
220,Bird,92
224,character,93
228,noticed,94
231,weapon,95
232,Agreed,96
233,Jumped,97
234,Property,98
236,Move around,99
237,Old-fashioned,100
243,Off-the-shoulder,101
248,Get,102
249,Publicising,103
252,occasionally,104
255,Name,105
260,rhubarb,106
265,Private,107
268,still,108
270,reading desk,109
272,Flat,110
275,Remove,111
281,cake,112
283,Rat,113
284,Grope for,114
284,board game,115
285,palm,116
288,harsh,117
289,assumed,118
292,died,119
295,virtue,120
296,Beast,121
301,satisfied,122
304,Stipulations,123
308,Wine,124
309,Greek,125
315,Island,126
316,Reduce,127
317,clubs,128
320,Poet,129
323,vehicles,130
325,uplifting,131
326,Base,132
327,Perversion,133
328,Pole,134
329,conversation,135
330,Spoke,136
332,plant,137
334,Trader,138
335,completely,139
339,Traffic,140
340,Cheats,141
343,waste product,142
344,Asian,143
346,Tag,144
352,a complaint,145
355,brickbat,146
356,Writer,147
358,County,148
