word,row,synset_name,phrase,self_ref
0,0,zero.n.02,<t>0</t>: a mathematical element that when added to another number yields the same number,False
1,1,one.n.01,<t>1</t>: the smallest whole number or a numeral representing this number,False
10,2,ten.n.01,<t>10</t>: the cardinal number that is the sum of nine and one; the base of the decimal system,False
100,3,hundred.n.01,<t>100</t>: ten 10s,False
10s,4,ten.n.01,<t>10s</t>: the cardinal number that is the sum of nine and one; the base of the decimal system,False
11,5,eleven.n.01,<t>11</t>: the cardinal number that is the sum of ten and one,False
11s,6,eleven.n.01,<t>11s</t>: the cardinal number that is the sum of ten and one,False
12,7,twelve.n.01,<t>12</t>: the cardinal number that is the sum of eleven and one,False
13,8,thirteen.n.01,<t>13</t>: the cardinal number that is the sum of twelve and one,False
14,9,fourteen.n.01,<t>14</t>: the cardinal number that is the sum of thirteen and one,False
15,10,fifteen.n.01,<t>15</t>: the cardinal number that is the sum of fourteen and one,False
16,11,sixteen.n.01,<t>16</t>: the cardinal number that is the sum of fifteen and one,False
16s,12,sixteen.n.01,<t>16s</t>: the cardinal number that is the sum of fifteen and one,False
17,13,seventeen.n.01,<t>17</t>: the cardinal number that is the sum of sixteen and one,False
18,14,eighteen.n.01,<t>18</t>: the cardinal number that is the sum of seventeen and one,False
18s,15,eighteen.n.01,<t>18s</t>: the cardinal number that is the sum of seventeen and one,False
19,16,nineteen.n.01,<t>19</t>: the cardinal number that is the sum of eighteen and one,False
1s,17,one.n.01,<t>1s</t>: the smallest whole number or a numeral representing this number,False
1st_class,18,first_class.n.02,<t>1st class</t>: mail that includes letters and postcards and packages sealed against inspection,False
2,19,two.n.01,<t>2</t>: the cardinal number that is the sum of one and one or a numeral representing this number,False
20,20,twenty.n.01,<t>20</t>: the cardinal number that is the sum of nineteen and one,False
20s,21,twenty.n.01,<t>20s</t>: the cardinal number that is the sum of nineteen and one,False
21,22,twenty-one.n.01,<t>21</t>: the cardinal number that is the sum of twenty and one,False
22,23,twenty-two.n.01,<t>22</t>: the cardinal number that is the sum of twenty-one and one,False
23,24,twenty-three.n.01,<t>23</t>: the cardinal number that is the sum of twenty-two and one,False
24,25,twenty-four.n.01,<t>24</t>: the cardinal number that is the sum of twenty-three and one,False
25,26,twenty-five.n.01,<t>25</t>: the cardinal number that is the sum of twenty-four and one,False
26,27,twenty-six.n.01,<t>26</t>: the cardinal number that is the sum of twenty-five and one,False
26s,28,twenty-six.n.01,<t>26s</t>: the cardinal number that is the sum of twenty-five and one,False
27,29,twenty-seven.n.01,<t>27</t>: the cardinal number that is the sum of twenty-six and one,False
28,30,twenty-eight.n.01,<t>28</t>: the cardinal number that is the sum of twenty-seven and one,False
29,31,twenty-nine.n.01,<t>29</t>: the cardinal number that is the sum of twenty-eight and one,False
3,32,three.n.01,<t>3</t>: the cardinal number that is the sum of one and one and one,False
3-d,33,three-d.n.01,<t>3-d</t>: a movie with images having three dimensional form or appearance,False
30,34,thirty.n.01,<t>30</t>: the cardinal number that is the product of ten and three,False
31,35,thirty-one.s.01,<t>31</t>: being one more than thirty,False
33,36,thirty-three.s.01,<t>33</t>: being three more than thirty,False
3s,37,three.n.01,<t>3s</t>: the cardinal number that is the sum of one and one and one,False
4,38,four.n.01,<t>4</t>: the cardinal number that is the sum of three and one,False
45,39,forty-five.s.01,<t>45</t>: being five more than forty,False
5,40,five.n.01,<t>5</t>: the cardinal number that is the sum of four and one,False
500,41,five_hundred.n.01,<t>500</t>: the cardinal number that is the product of one hundred and five,False
6,42,six.n.01,<t>6</t>: the cardinal number that is the sum of five and one,False
60,43,sixty.n.01,<t>60</t>: the cardinal number that is the product of ten and six,False
60_minutes,44,hour.n.01,<t>60 minutes</t>: a period of time equal to 1/24th of a day,False
60s,45,sixty.n.01,<t>60s</t>: the cardinal number that is the product of ten and six,False
7,46,seven.n.01,<t>7</t>: the cardinal number that is the sum of six and one,False
7s,47,seven.n.01,<t>7s</t>: the cardinal number that is the sum of six and one,False
8,48,eight.n.01,<t>8</t>: the cardinal number that is the sum of seven and one,False
9,49,nine.n.01,<t>9</t>: the cardinal number that is the sum of eight and one,False
9s,50,nine.n.01,<t>9s</t>: the cardinal number that is the sum of eight and one,False
a,51,angstrom.n.01,<t>a</t>: a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation,True
a-bomb,52,atom_bomb.n.01,<t>a-bomb</t>: a nuclear weapon in which enormous energy is released by nuclear fission (splitting the nuclei of a heavy element like uranium 235 or plutonium 239),False
a-list,53,a-list.n.01,<t>a-list</t>: a list of names of specially favored people,False
a-one,54,ace.s.01,<t>a-one</t>: of the highest quality,False
a-team,55,a-team.n.01,<t>a-team</t>: a group of elite soldiers or a leadership group of advisors or workers in an organization,False
a_bit,56,a_bit.r.01,<t>a bit</t>: to a small degree; somewhat,False
a_cappella,57,a_cappella.s.01,<t>a cappella</t>: sung without instrumental accompaniment,False
a_few,58,a_few.s.01,<t>a few</t>: more than one but indefinitely small in number,False
a_good_deal,59,a_lot.r.01,<t>a good deal</t>: to a very great degree or extent,False
a_great_deal,60,a_lot.r.01,<t>a great deal</t>: to a very great degree or extent,False
a_la_carte,61,a_la_carte.n.01,<t>a la carte</t>: a menu having individual dishes listed with separate prices,False
a_la_mode,62,latest.s.02,<t>a la mode</t>: in the current fashion or style,False
a_level,63,a_level.n.01,<t>a level</t>: the advanced level of a subject taken in school (usually two years after O level),False
a_levels,64,a_level.n.01,<t>a levels</t>: the advanced level of a subject taken in school (usually two years after O level),False
a_little,65,a_bit.r.01,<t>a little</t>: to a small degree; somewhat,False
a_lot,66,a_lot.r.01,<t>a lot</t>: to a very great degree or extent,False
a_posteriori,67,a_posteriori.a.01,<t>a posteriori</t>: involving reasoning from facts or particulars to general principles or from effects to causes,False
a_priori,68,a_priori.a.01,<t>a priori</t>: involving deductive reasoning from a general principle to a necessary effect; not supported by fact,False
a_trifle,69,a_bit.r.01,<t>a trifle</t>: to a small degree; somewhat,False
aa,70,aa.n.01,<t>aa</t>: a dry form of lava resembling clinkers,False
aardvark,71,aardvark.n.01,<t>aardvark</t>: nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata,False
aardwolf,72,aardwolf.n.01,<t>aardwolf</t>: striped hyena of southeast Africa that feeds chiefly on insects,False
aaron,73,aaron.n.01,<t>aaron</t>: United States professional baseball player who hit more home runs than Babe Ruth (born in 1934),False
aaron_copland,74,copland.n.01,<t>aaron copland</t>: United States composer who developed a distinctly American music (1900-1990),False
ab_initio,75,initially.r.01,<t>ab initio</t>: at the beginning,False
abaci,76,abacus.n.01,<t>abaci</t>: a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave,False
aback,77,aback.r.01,<t>aback</t>: having the wind against the forward side of the sails,False
abacus,78,abacus.n.01,<t>abacus</t>: a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave,False
abadan,79,abadan.n.01,<t>abadan</t>: a port city in southwestern Iran,False
abaft,80,aft.r.01,<t>abaft</t>: at or near or toward the stern of a ship or tail of an airplane,False
abalone,81,abalone.n.01,<t>abalone</t>: any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior,False
abandon,82,abandon.n.01,<t>abandon</t>: the trait of lacking restraint or control; reckless freedom from inhibition or worry,False
abandoned,83,abandon.v.01,"<t>abandoned</t>: forsake, leave behind",False
abandoning,84,abandon.v.01,"<t>abandoning</t>: forsake, leave behind",False
abandonment,85,abandonment.n.01,<t>abandonment</t>: the act of giving something up,False
abandons,86,abandon.n.01,<t>abandons</t>: the trait of lacking restraint or control; reckless freedom from inhibition or worry,False
abase,87,humiliate.v.01,<t>abase</t>: cause to feel shame; hurt the pride of,False
abased,88,humiliate.v.01,<t>abased</t>: cause to feel shame; hurt the pride of,False
abasement,89,abasement.n.01,<t>abasement</t>: a low or downcast state; - H.L.Menchken,False
abases,90,humiliate.v.01,<t>abases</t>: cause to feel shame; hurt the pride of,False
abash,91,embarrass.v.01,<t>abash</t>: cause to be embarrassed; cause to feel self-conscious,False
abashed,92,embarrass.v.01,<t>abashed</t>: cause to be embarrassed; cause to feel self-conscious,False
abashes,93,embarrass.v.01,<t>abashes</t>: cause to be embarrassed; cause to feel self-conscious,False
abashing,94,embarrass.v.01,<t>abashing</t>: cause to be embarrassed; cause to feel self-conscious,False
abashment,95,abashment.n.01,<t>abashment</t>: feeling embarrassed due to modesty,False
abasing,96,humiliate.v.01,<t>abasing</t>: cause to feel shame; hurt the pride of,False
abate,97,slake.v.02,<t>abate</t>: make less active or intense,False
abated,98,slake.v.02,<t>abated</t>: make less active or intense,False
abatement,99,suspension.n.04,<t>abatement</t>: an interruption in the intensity or amount of something,False
abates,100,slake.v.02,<t>abates</t>: make less active or intense,False
abating,101,slake.v.02,<t>abating</t>: make less active or intense,False
abatis,102,abattis.n.01,<t>abatis</t>: a line of defense consisting of a barrier of felled or live trees with branches (sharpened or with barbed wire entwined) pointed toward the enemy,False
abattoir,103,abattoir.n.01,<t>abattoir</t>: a building where animals are butchered,False
abbe,104,abbe.n.01,<t>abbe</t>: a French abbot,False
abbess,105,abbess.n.01,<t>abbess</t>: the superior of a group of nuns,False
abbesses,106,abbess.n.01,<t>abbesses</t>: the superior of a group of nuns,False
abbey,107,abbey.n.01,<t>abbey</t>: a church associated with a monastery or convent,False
abbeys,108,abbey.n.01,<t>abbeys</t>: a church associated with a monastery or convent,False
abbot,109,abbot.n.01,<t>abbot</t>: the superior of an abbey of monks,False
abbots,110,abbot.n.01,<t>abbots</t>: the superior of an abbey of monks,False
abbreviate,111,abridge.v.01,<t>abbreviate</t>: reduce in scope while retaining essential elements,False
abbreviated,112,abridge.v.01,<t>abbreviated</t>: reduce in scope while retaining essential elements,False
abbreviation,113,abbreviation.n.01,<t>abbreviation</t>: a shortened form of a word or phrase,False
abc,114,rudiment.n.01,<t>abc</t>: the elementary stages of any subject (usually plural),False
abdicate,115,abdicate.v.01,"<t>abdicate</t>: give up, such as power, as of monarchs and emperors, or duties and obligations",False
abdicated,116,abdicate.v.01,"<t>abdicated</t>: give up, such as power, as of monarchs and emperors, or duties and obligations",False
abdicating,117,abdicate.v.01,"<t>abdicating</t>: give up, such as power, as of monarchs and emperors, or duties and obligations",False
abdication,118,abdication.n.01,<t>abdication</t>: a formal resignation and renunciation of powers,False
abdomen,119,abdomen.n.01,<t>abdomen</t>: the region of the body of a vertebrate between the thorax and the pelvis,False
abdominal,120,abdominal.n.01,<t>abdominal</t>: the muscles of the abdomen,False
abduce,121,adduce.v.01,<t>abduce</t>: advance evidence for,False
abduct,122,kidnap.v.01,<t>abduct</t>: take away to an undisclosed location against their will and usually in order to extract a ransom,False
abducted,123,kidnap.v.01,<t>abducted</t>: take away to an undisclosed location against their will and usually in order to extract a ransom,False
