clue_id,definition,answer_wn,distractor_wn,anchor,positive,negative
3,Stripping,unclothing,priming,"<t>Stripping</t> off uniform, love holding colonel's coat",<t>unclothing</t>: strip,<t>priming</t>: the act of making something ready
13,roguishly,archly,shameless,Highest-ranking lady has heart stolen <t>roguishly</t>,<t>archly</t>: in_an_arch_manner; with playful slyness or roguishness,<t>shameless</t>: feeling no shame
14,a column,caryatid,expanse,Grant a leader in the papers <t>a column</t>,<t>caryatid</t>: a supporting column carved in the shape of a person,<t>expanse</t>: a wide scope
23,record-holder,archivist,operator,This vicar could be the <t>record-holder</t>,<t>archivist</t>: a person in charge of collecting and cataloguing archives,<t>operator</t>: (mathematics) a symbol or function representing a mathematical operation
30,Protective cover,thatch,press_stud,<t>Protective cover</t> Queen got from prime minister,<t>thatch</t>: hair resembling thatched roofing material,<t>press stud</t>: a fastener used on clothing; fastens with a snapping sound
42,Sound,whirr,audio,<t>Sound</t> beginning when hummingbird is rapidly returning,<t>whirr</t>: sound of something in rapid motion,<t>audio</t>: the audible part of a transmitted signal
59,Record,enrol,docket,<t>Record</t> single up around number four in chart,<t>enrol</t>: register formally as a participant or member,<t>docket</t>: (law) the calendar of a court; the list of cases to be tried or a summary of the court's activities
68,Burden,oppress,travail,<t>Burden</t> of work papers,<t>oppress</t>: come down on or keep down by unjust use of one's authority,<t>travail</t>: concluding state of pregnancy; from the onset of contractions to the birth of a child
77,Injurious,adverse,oddish,"<t>Injurious</t> commercial, very Irish",<t>adverse</t>: contrary to your interests or welfare,<t>oddish</t>: somewhat strange
86,Rev,vroom,activates,"<t>Rev</t> Vicar’s first study, say",<t>vroom</t>: the roaring sound made by a motor that is running at high speed,<t>activates</t>: put in motion or move to act
88,Intrepid,dauntless,tireless,<t>Intrepid</t> daughter missing parent's sister,<t>dauntless</t>: invulnerable to fear or intimidation,<t>tireless</t>: showing sustained enthusiastic action with unflagging vitality
94,Position,status,pretension,<t>Position</t> of rubbish in South America,<t>status</t>: the relative position or standing of things or especially persons in a society,<t>pretension</t>: a false or unsupportable quality
95,Element,germanium,dialectic,<t>Element</t> Mendeleev originally found in flowering plant,<t>germanium</t>: a brittle grey crystalline element that is a semiconducting metalloid (resembling silicon) used in transistors; occurs in germanite and argyrodite,<t>dialectic</t>: any formal system of reasoning that arrives at the truth by the exchange of logical arguments
96,accident,prang,repercussions,"Head of police called, revealing <t>accident</t>",<t>prang</t>: a crash involving a car or plane,<t>repercussions</t>: a remote or indirect consequence of some action
100,Argument,dispute,gloss,<t>Argument</t> inspector advanced in Home Counties,<t>dispute</t>: a disagreement or argument about something important,<t>gloss</t>: an explanation or definition of an obscure word in a text
107,Plea,entreaty,contention,<t>Plea</t> to dine among competitors,<t>entreaty</t>: earnest or urgent request,<t>contention</t>: a point asserted as part of an argument
117,me,numismatist,bozo,Ordering of pieces from mint is a must for <t>me</t>,<t>numismatist</t>: a collector and student of money (and coins in particular),<t>bozo</t>: a man who is a stupid incompetent fool
118,carelessly,anyhow,balefully,Madcap display with tops off <t>carelessly</t>,<t>anyhow</t>: used to indicate that a statement explains or supports a previous statement,<t>balefully</t>: in a baleful manner
145,dance,reel,darting,Perth perv returned to <t>dance</t>,<t>reel</t>: a roll of photographic film holding a series of frames to be projected by a movie projector,<t>darting</t>: move along rapidly and lightly; skim or dart
149,recess,apse,overhang,Monkey outside small <t>recess</t>,<t>apse</t>: a domed or vaulted recess or projection on a building especially the east end of a church; usually contains the altar,<t>overhang</t>: projection that extends beyond or hangs over something else
150,Ruined,bust,depressing,<t>Ruined</t> a sculpture,<t>bust</t>: a complete failure,<t>depressing</t>: lower someone's spirits; make downhearted
154,Bats,gaga,racket,<t>Bats</t> finally settling on stove,<t>gaga</t>: mentally or physically infirm with age,<t>racket</t>: a loud and disturbing noise
