source,field,raw,publisher,series,setter,confidence,notes
bigdave44,puzzle_name_leading,daily telegraph,Daily Telegraph,,,High,UK (British English). Often regarded as a good starting point for newcomers; tends toward Ximenean style; anonymous setters. Published Mon-Sat; Saturday puzzle is a prize crossword. (Wikipedia; bestforpuzzles.com)
bigdave44,puzzle_name_leading,sunday telegraph,Sunday Telegraph,,,High,UK (British English). Difficulty very similar to the Daily Telegraph. Set by Brian Greer. (fifteensquared.net; bestforpuzzles.com)
bigdave44,puzzle_name_leading,toughie,Daily Telegraph,Toughie,,High,UK (British English). Published Tue-Fri alongside the regular cryptic; setter pseudonyms published; can take a very Libertarian approach depending on the setter. Significantly harder than the regular DT. (bestforpuzzles.com; Wikipedia)
bigdave44,puzzle_name_leading,sunday toughie,Sunday Telegraph,Sunday Toughie,,High,UK (British English). Prize puzzle; distinct from the regular Sunday Telegraph cryptic. (bigdave44.com)
bigdave44,puzzle_name_leading,double toughie,Daily Telegraph,Double Toughie,,High,UK (British English). Two Toughie grids combined; higher difficulty than a standard Toughie. (bigdave44.com)
bigdave44,puzzle_name_leading,ntspp,Big Dave's Blog,NTSPP,,High,UK (British English). NTSPP = Not The Saturday Prize Puzzle; introduced Feb 2010; original community puzzles not from a print publication; many setters have gone on to be published in the national press. (bigdave44.com)
bigdave44,puzzle_name_leading,rookie corner,Big Dave's Blog,Rookie Corner,,High,UK (British English); international setters occasionally appear. Launched April 2014 for debut setters; difficulty and quality variable by design. (bigdave44.com)
bigdave44,puzzle_name_leading,mpp,Big Dave's Blog,MPP,,High,UK (British English). MPP = Monthly Prize Puzzle; introduced June 2012; prize is a Telegraph crossword book; original community puzzle. (bigdave44.com)
bigdave44,puzzle_name_leading,qpp,Big Dave's Blog,QPP,,High,UK (British English). QPP = Quarterly Prize Puzzle; typically set by experienced community setters such as Prolixic; prize is a Telegraph crossword book; may include a meta-puzzle element. (bigdave44.com)
bigdave44,puzzle_name_leading,sp,Big Dave's Blog,SP,,High,"UK (British English). SP = Special Puzzle; one-off puzzles created for Sloggers & Betters events, often by named setters such as Elgar; may include advanced features like barred grids or extra constraints. (bigdave44.com)"
bigdave44,puzzle_name_leading,xtra,Big Dave's Blog,Xtra,,Medium,"UK (British English). Refers to Big Dave's Xtra Crossword Blog, a secondary overflow blog. Low row count (36); exact nature unclear. (bigdave44x.wordpress.com)"
fifteensquared,puzzle_name_leading,guardian,Guardian,,,High,UK (British English). Setter pseudonyms published; difficulty varies significantly by setter; tends toward Libertarian cluing. (Wikipedia)
fifteensquared,puzzle_name_leading,guardian prize,Guardian,Prize,,High,UK (British English). Saturday prize crossword; harder than the regular weekday Guardian. (fifteensquared.net)
fifteensquared,puzzle_name_leading,guardian quiptic,Guardian,Quiptic,,High,UK (British English). Aimed at beginners and those short of time; easier than the regular Guardian cryptic; published Mondays. (Amazon/Guardian)
fifteensquared,puzzle_name_leading,guardian genius,Guardian,Genius,,High,UK (British English). Monthly online puzzle; harder than the regular Guardian cryptic. (guardian.com)
fifteensquared,puzzle_name_leading,guardian saturday puzzle,Guardian,Saturday,,High,UK (British English). Saturday prize crossword.
fifteensquared,puzzle_name_leading,guardian saturday crossword,Guardian,Saturday,,High,UK (British English). Variant label for Saturday Guardian puzzle.
fifteensquared,puzzle_name_leading,guardian saturday prize crossword,Guardian,Saturday Prize,,High,UK (British English). Variant label for Saturday Guardian prize crossword.
fifteensquared,puzzle_name_leading,guardian easter prize puzzle,Guardian,Easter Prize,,High,UK (British English). Special seasonal prize puzzle.
fifteensquared,puzzle_name_leading,guardian christmas prize,Guardian,Christmas Prize,,High,UK (British English). Special seasonal prize puzzle.
fifteensquared,puzzle_name_leading,guardian prize picaroon,Guardian,Prize,Picaroon,High,UK (British English). Setter name embedded in leading token; Picaroon is a Guardian setter.
